::ffff:76.174.179.0 - - [11/Jan/2016:18:08:51 +0000] "GET /assets/main.css HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:51 +0000] "GET /assets/default.css HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:52 +0000] "GET /index.js HTTP/1.1" 200 498887 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:52 +0000] "GET /index.js HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:54 +0000] "GET /assets/matchly-favicon.ico HTTP/1.1" 200 1150 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:54 +0000] "POST /checkLogin HTTP/1.1" 200 248 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:55 +0000] "POST /headerOrder HTTP/1.1" 200 308 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:55 +0000] "GET /employers HTTP/1.1" 200 6770 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:55 +0000] "GET /schools HTTP/1.1" 200 16285 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:55 +0000] "GET /calendar?startDate=2016-01-11T00:00:00-08:00&endDate=2016-02-08T00:00:00-08:00 HTTP/1.1" 200 1595 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:55 +0000] "GET /assets/matchly-favicon.ico HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
