::ffff:69.30.198.178 - - [05/Apr/2016:21:34:54 +0000] "GET /login HTTP/1.0" 200 705 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
::ffff:184.168.75.231 - - [05/Apr/2016:21:54:56 +0000] "GET / HTTP/1.0" 302 28 "-" "-"
::ffff:184.168.75.231 - - [05/Apr/2016:21:54:59 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36"
::ffff:184.168.75.231 - - [05/Apr/2016:21:55:03 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249:80/" "Go-http-client/1.1"
::ffff:184.168.75.231 - - [05/Apr/2016:21:55:05 +0000] "GET /CHANGELOG.txt HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36"
::ffff:184.168.75.231 - - [05/Apr/2016:21:55:07 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249:80/CHANGELOG.txt" "Go-http-client/1.1"
::ffff:184.168.75.231 - - [05/Apr/2016:21:55:10 +0000] "GET /joomla.xml HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.103 Safari/537.36"
::ffff:184.168.75.231 - - [05/Apr/2016:21:55:13 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249:80/joomla.xml" "Go-http-client/1.1"
::ffff:184.168.75.231 - - [05/Apr/2016:21:55:15 +0000] "GET /administrator/manifests/libraries/joomla.xml HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.103 Safari/537.36"
::ffff:184.168.75.231 - - [05/Apr/2016:21:55:18 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249:80/administrator/manifests/libraries/joomla.xml" "Go-http-client/1.1"
::ffff:184.168.75.231 - - [05/Apr/2016:21:55:21 +0000] "GET / HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36"
::ffff:184.168.75.231 - - [05/Apr/2016:21:55:23 +0000] "GET /login HTTP/1.1" 200 705 "http://45.55.51.249:80" "Go-http-client/1.1"
::ffff:198.245.55.60 - - [05/Apr/2016:22:06:15 +0000] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 302 28 "-" "-"
::ffff:185.25.151.159 - - [05/Apr/2016:23:56:42 +0000] "GET http://testp3.pospr.waw.pl/testproxy.php HTTP/1.1" 302 56 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
