::ffff:199.116.169.254 - - [20/Feb/2016:19:03:58 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:03:58 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:03:58 +0000] "POST /headerOrder HTTP/1.1" 200 293 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:03:58 +0000] "GET /calendar?startDate=2016-02-15T00:00:00-07:00&endDate=2016-03-14T00:00:00-07:00 HTTP/1.1" 200 1593 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:03:58 +0000] "GET /schools HTTP/1.1" 200 16262 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:03:59 +0000] "GET /employers HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:03:59 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:04:00 +0000] "GET /employers HTTP/1.1" 200 6867 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:04:42 +0000] "GET /updateHeaderOrder HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:04:43 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:04:43 +0000] "POST /updateHeaderOrder HTTP/1.1" 200 346 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:04:43 +0000] "GET /checkschools HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:04:43 +0000] "GET /checkemployers HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:04:43 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:04:43 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:04:44 +0000] "POST /checkschools HTTP/1.1" 200 548 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:04:44 +0000] "POST /checkemployers HTTP/1.1" 200 334 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:06:56 +0000] "GET /calendar?startDate=2016-02-15T00:00:00-07:00&endDate=2016-03-14T00:00:00-07:00 HTTP/1.1" 200 1593 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:07:19 +0000] "POST /updateHeaderOrder HTTP/1.1" 200 351 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:07:19 +0000] "POST /checkschools HTTP/1.1" 200 548 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:07:19 +0000] "POST /checkemployers HTTP/1.1" 200 334 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:07:29 +0000] "GET /visitors HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:07:29 +0000] "GET /login HTTP/1.1" 200 705 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:07:31 +0000] "POST /visitors HTTP/1.1" 200 4308 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:07:31 +0000] "GET /calendar?startDate=2016-02-15T00:00:00-07:00&endDate=2016-03-14T00:00:00-07:00 HTTP/1.1" 200 1592 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:156.42.184.102 - - [20/Feb/2016:19:07:33 +0000] "GET /visitors?date=2016-02-20T07:00:00.000Z HTTP/1.1" 200 4228 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
::ffff:199.116.169.254 - - [20/Feb/2016:19:07:34 +0000] "GET /currentmatches?date=2016-02-20T07:00:00.000Z HTTP/1.1" 302 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
